SG_UF_PROVA,participantes,sexo_majoritario,idade_majoritaria,cor_raca_majoritaria,renda_majoritaria,percentual_maior_renda,percentual_menor_renda
AC,26414,Feminino,18 anos,Parda,Menor renda,25.66,74.34
AL,88830,Feminino,18 anos,Parda,Menor renda,23.27,76.73
AM,96861,Feminino,18 anos,Parda,Menor renda,23.88,76.12
AP,30622,Feminino,18 anos,Parda,Menor renda,26.3,73.7
BA,376523,Feminino,18 anos,Parda,Menor renda,23.02,76.98
CE,250472,Feminino,18 anos,Parda,Menor renda,20.01,79.99
DF,74429,Feminino,18 anos,Parda,Menor renda,27.99,72.01
ES,74460,Feminino,18 anos,Parda,Menor renda,33.8,66.2
GO,151082,Feminino,18 anos,Parda,Menor renda,29.23,70.77
MA,178768,Feminino,18 anos,Parda,Menor renda,20.44,79.56
MG,393419,Feminino,18 anos,Branca,Menor renda,30.35,69.65
MS,51280,Feminino,17 anos,Branca,Menor renda,31.59,68.41
MT,67746,Feminino,18 anos,Parda,Menor renda,35.97,64.03
PA,247883,Feminino,18 anos,Parda,Menor renda,23.02,76.98
PB,128454,Feminino,18 anos,Parda,Menor renda,23.4,76.6
PE,237467,Feminino,18 anos,Parda,Menor renda,21.78,78.22
PI,108063,Feminino,18 anos,Parda,Menor renda,18.81,81.19
PR,179871,Feminino,17 anos,Branca,Menor renda,33.6,66.4
RJ,288759,Feminino,18 anos,Branca,Menor renda,25.36,74.64
RN,102115,Feminino,18 anos,Parda,Menor renda,26.55,73.45
RO,38598,Feminino,18 anos,Parda,Menor renda,31.54,68.46
RR,12687,Feminino,18 anos,Parda,Menor renda,25.66,74.34
RS,278609,Feminino,18 anos,Branca,Menor renda,45.9,54.1
SC,95084,Feminino,18 anos,Branca,Menor renda,38.51,61.49
SE,69491,Feminino,18 anos,Parda,Menor renda,22.2,77.8
SP,646692,Feminino,18 anos,Branca,Menor renda,28.49,71.51
TO,34532,Feminino,18 anos,Parda,Menor renda,25.68,74.32
