SG_UF_PROVA,inscritos,renda_media,media_bens,indice_socioeconomico,situacao_socioeconomica
RS,279039,649.1509072208544,15.884410422915794,0.42360511913105087,Média-baixa
SC,95125,544.078296977661,17.670233902759527,0.3955690126210922,Média-baixa
PR,179954,474.8279004634518,17.23781077386443,0.36211995778766204,Média-baixa
MT,67782,508.32999911480925,15.434363105249181,0.3595797196621453,Média-baixa
ES,74543,478.15510510711937,15.649879935071032,0.3487623344603037,Média-baixa
MS,51311,446.4045526300403,15.546529983824131,0.33430920338492176,Média-baixa
SP,647212,402.9514100480214,17.324375938641435,0.3323827971108708,Média-baixa
MG,393822,429.44201187338444,15.682303172499251,0.3283643312827079,Média-baixa
DF,74520,396.40971551261407,16.745450885668276,0.324217690896154,Média-baixa
RO,38609,445.48089823616255,14.31461576316403,0.32245704851320967,Média-baixa
GO,151158,413.1901454107622,15.398748329562444,0.318820719548958,Média-baixa
RJ,289397,360.1808311765499,15.351237227752879,0.2958535514623791,Média-baixa
RR,12694,362.8441783519773,14.04718764770758,0.28485459162175136,Média-baixa
RN,102215,375.7965856283324,13.201438145086337,0.28249101017121914,Média-baixa
TO,34539,362.699093778048,13.772691739772432,0.2822394906465694,Média-baixa
AP,30650,372.0032626427406,12.167145187601957,0.2712577867142153,Média-baixa
AC,26424,362.61852861035425,12.163828337874659,0.26723908497560356,Média-baixa
PB,128546,331.09162478801363,12.566575389354783,0.25758886783448076,Média-baixa
AL,88896,329.3491270698344,12.38662032037437,0.2551744290689303,Média-baixa
AM,96898,337.59008441866706,11.956273607298396,0.25467302706706213,Média-baixa
BA,376844,325.81243166933797,12.072794047404232,0.25075226983073373,Média-baixa
SE,69529,314.044039177897,12.409900904658487,0.24888741421933025,Baixa
PE,237615,308.124588094186,12.568347957830944,0.24784599280935693,Baixa
PA,248061,325.7104180020237,11.451437348071643,0.24492885892751623,Baixa
CE,250607,283.045693057257,11.956772955264617,0.23150016875305826,Baixa
MA,178832,289.02131609555335,11.394224747248815,0.22880637875537596,Baixa
PI,108113,266.0144108479091,12.139206200919409,0.22596013344349655,Baixa
